"ID","12142020-cnf-1","12172020cl3","12182020cl1","12192020cml1","12202020","12212020","12232020cp","12252020cp2f"
"1108583|CE1108582_77014",NA,9,11,14,16,6,NA,34
"1109264|CE1109263_249",NA,NA,2,NA,NA,NA,NA,NA
"1110002|CE1110001_16565",NA,6,6,4,6,8,36,26
"1110201|CE1110200_2412",NA,1,NA,NA,NA,NA,NA,NA
"1110238|CE1110237_345",NA,1,NA,NA,4,NA,NA,2
"1110316|CE1110315_105",NA,1,NA,4,2,NA,NA,NA
"1110798|CE1110797_3245",NA,NA,NA,NA,1,NA,2,NA
"1110911|CE1110910_964",4,1,2,NA,NA,2,2,NA
"1111619|CE1111618_561",NA,2,NA,NA,NA,NA,NA,NA
"1112591|CE1112590_2887",NA,1,2,NA,NA,NA,NA,NA
"1113803|CE1113802_675",NA,NA,NA,NA,NA,NA,NA,1
"1117136|CE1117135_1412",NA,NA,2,NA,2,NA,NA,NA
"1117317|CE1117316_697",NA,NA,2,NA,NA,NA,NA,NA
"1118197|CE1118196_263",NA,NA,NA,NA,NA,NA,2,NA
"111895|CE111894_872",NA,NA,NA,NA,3,NA,NA,NA
"1118990|CE1118989_291",NA,NA,NA,2,NA,NA,NA,NA
"1119060|CE1119059_96",NA,1,NA,NA,NA,NA,NA,NA
"1124061|CE1124060_85058",17,44,13,6,14,11,2,4
"1124610|CE1124609_9228",NA,4,NA,NA,NA,NA,NA,2
"1125269|CE1125268_14884",NA,2,2,3,2,3,NA,2
"1125506|CE1125505_284",NA,NA,NA,2,2,NA,NA,NA
"1125756|CE1125755_4236",NA,NA,NA,NA,2,NA,NA,NA
"1125832|CE1125831_21505",NA,NA,2,NA,NA,NA,NA,NA
"1125886|CE1125885_5217",NA,NA,2,2,NA,2,NA,5
"1126250|CE1126249_2952",NA,NA,NA,NA,2,NA,NA,NA
"1126258|CE1126257_1794",NA,2,NA,NA,NA,NA,NA,2
"1127056|CE1127055_4718",NA,NA,NA,NA,1,NA,NA,NA
"1129245|CE1129244_6423",NA,1,NA,NA,NA,NA,NA,NA
"1129658|CE1129657_56845",2,1,NA,NA,NA,NA,NA,NA
"1130146|CE1130145_238",NA,NA,NA,2,2,NA,NA,NA
"1130277|CE1130276_1750",NA,NA,NA,1,NA,NA,1,2
"1130400|CE1130399_10035",NA,1,NA,NA,4,NA,NA,NA
"1130955|CE1130954_2645",NA,6,1,NA,NA,7,NA,NA
"1131504|CE1131503_883",NA,NA,NA,NA,NA,NA,NA,2
"1131789|CE1131788_2848",NA,1,NA,NA,1,NA,NA,NA
"113181|CE113180_116504",2,31,18,8,16,3,NA,14
"1132711|CE1132710_3913",5,2,2,NA,NA,NA,NA,4
"1134656|CE1134655_6385",4,NA,NA,2,NA,NA,NA,NA
"1134957|CE1134956_1035",NA,1,NA,NA,1,NA,NA,NA
"1135564|CE1135563_17041",NA,2,NA,NA,NA,NA,NA,NA
"113678|CE113677_5441",NA,NA,NA,2,NA,NA,NA,NA
"1136971|CE1136970_9869",NA,NA,NA,NA,3,NA,NA,NA
"1137071|CE1137070_13197",NA,1,1,NA,NA,2,NA,NA
"1137910|CE1137909_14442",4,6,3,NA,6,2,4,3
"1137914|CE1137913_5568",NA,2,NA,NA,NA,NA,NA,NA
"113891|CE113890_317",NA,NA,NA,NA,NA,2,NA,NA
"1138980|CE1138979_5362",NA,NA,1,NA,NA,NA,NA,2
"1139614|CE1139613_5557",NA,NA,NA,NA,NA,3,2,NA
"1140553|CE1140552_1660",NA,1,NA,NA,NA,NA,NA,NA
"1141630|CE1141629_37693",12,NA,1,4,6,1,NA,NA
"1141647|CE1141646_2432",2,3,1,2,NA,NA,NA,NA
"1141657|CE1141656_11652",NA,NA,NA,2,NA,NA,NA,NA
"1141943|CE1141942_713",NA,NA,NA,NA,2,NA,NA,3
"1141955|CE1141954_2921",NA,1,NA,NA,NA,NA,NA,NA
"1142532|CE1142531_8798",NA,NA,NA,NA,2,NA,NA,NA
"114310|CE114309_1758",NA,NA,NA,NA,NA,NA,2,NA
"1144017|CE1144016_1065",NA,NA,NA,NA,2,NA,NA,NA
"1144159|CE1144158_730",NA,NA,NA,NA,2,2,NA,NA
"1144164|CE1144163_24843",NA,NA,NA,NA,NA,NA,NA,1
"1144400|CE1144399_6832",NA,NA,2,NA,NA,NA,NA,NA
"1144657|CE1144656_6390",NA,NA,NA,NA,2,NA,NA,NA
"1144889|CE1144888_17061",NA,NA,8,2,7,6,NA,2
"114500|CE114499_18072",NA,1,2,8,3,NA,6,2
"1145565|CE1145564_4436",NA,2,NA,NA,NA,NA,NA,NA
"1145703|CE1145702_12134",NA,1,NA,NA,3,NA,2,NA
"1146418|CE1146417_7187",NA,2,NA,NA,4,NA,NA,NA
"1146993|CE1146992_18741",NA,10,21,36,34,22,10,30
"1147278|CE1147277_28829",NA,15,3,12,4,8,NA,17
"1147399|CE1147398_15314",NA,NA,NA,NA,2,NA,NA,NA
"1147803|CE1147802_28719",NA,NA,NA,NA,NA,NA,NA,4
"1148825|CE1148824_2921",NA,NA,NA,NA,NA,1,NA,NA
"1149225|CE1149224_4073",NA,NA,NA,NA,1,NA,NA,NA
"1149944|CE1149943_168",NA,NA,NA,NA,NA,NA,1,NA
"1151798|CE1151797_2903",NA,1,NA,1,NA,NA,NA,NA
"1151942|CE1151941_18537",NA,2,NA,NA,NA,NA,NA,4
"1152063|CE1152062_49215",NA,NA,4,NA,NA,2,NA,NA
"1152730|CE1152729_8077",NA,NA,NA,NA,NA,NA,NA,2
"1153102|CE1153101_1196",NA,1,NA,NA,NA,NA,NA,1
"1153794|CE1153793_14699",NA,1,1,NA,NA,NA,2,2
"1155262|CE1155261_1949",NA,4,4,2,6,NA,NA,NA
"1155884|CE1155883_37",2,NA,NA,NA,NA,NA,NA,NA
"1155930|CE1155929_3828",NA,NA,NA,NA,NA,NA,NA,2
"1157231|CE1157230_4836",NA,2,NA,NA,2,NA,NA,4
"1157307|CE1157306_3150",NA,1,NA,NA,NA,NA,NA,6
"1157360|CE1157359_1603",NA,NA,NA,NA,NA,NA,2,NA
"1157984|CE1157983_4388",6,4,2,NA,NA,NA,NA,NA
"1158796|CE1158795_261",NA,NA,NA,NA,NA,NA,NA,2
"1158797|CE1158796_410",NA,NA,NA,NA,NA,NA,1,NA
"115956|CE115955_12349",NA,3,NA,3,NA,NA,NA,NA
"1161280|CE1161279_33493",NA,NA,NA,NA,NA,NA,NA,1
"116143|CE116142_2946",NA,NA,NA,NA,NA,NA,NA,1
"1162189|CE1162188_240",NA,1,NA,NA,NA,NA,NA,NA
"1162202|CE1162201_3161",NA,NA,NA,NA,NA,NA,NA,4
"1162472|CE1162471_3277",NA,NA,NA,NA,NA,2,NA,NA
"1163429|CE1163428_458",NA,1,NA,NA,NA,2,NA,NA
"1163447|CE1163446_211",2,NA,NA,NA,NA,NA,NA,4
"1166448|CE1166447_2859",NA,1,NA,2,NA,NA,NA,NA
"1167665|CE1167664_1675",NA,NA,NA,NA,NA,NA,NA,2
"116905|CE116904_1926",NA,NA,NA,2,NA,NA,NA,NA
"1171350|CE1171349_4954",NA,NA,NA,2,NA,NA,NA,2
"1171391|CE1171390_26714",NA,2,NA,NA,NA,NA,NA,NA
"1172032|CE1172031_2800",NA,NA,NA,NA,NA,2,NA,NA
"117279|CE117278_6089",NA,NA,NA,NA,NA,2,NA,NA
"1173376|CE1173375_3586",NA,NA,NA,2,NA,NA,NA,NA
"117343|CE117342_2199",NA,NA,NA,NA,1,NA,NA,NA
"1173445|CE1173444_2521",NA,NA,NA,NA,NA,NA,NA,2
"1173608|CE1173607_15636",6,NA,4,12,2,8,NA,16
"1174399|CE1174398_9945",NA,4,5,2,4,6,NA,NA
"1174699|CE1174698_46",NA,NA,NA,NA,2,NA,NA,NA
"1174791|CE1174790_2820",2,NA,NA,NA,NA,NA,2,NA
"1175167|CE1175166_344",NA,NA,NA,NA,NA,2,NA,NA
"1175215|CE1175214_506",NA,2,NA,NA,NA,NA,NA,NA
"1176128|CE1176127_385",NA,NA,NA,NA,NA,NA,NA,2
"1176381|CE1176380_7621",NA,NA,NA,4,2,NA,NA,2
"1177315|CE1177314_243",NA,1,2,NA,NA,NA,NA,NA
"1177844|CE1177843_1407",NA,NA,NA,2,NA,NA,NA,NA
"1177937|CE1177936_3061",NA,NA,NA,NA,NA,NA,NA,2
"1178165|CE1178164_51",NA,NA,NA,NA,NA,NA,2,NA
"1178371|CE1178370_1276",NA,NA,1,1,4,NA,NA,NA
"1178654|CE1178653_5710",4,NA,NA,NA,NA,2,NA,NA
"1179531|CE1179530_1414",NA,2,1,2,2,NA,NA,NA
"1179933|CE1179932_1751",NA,NA,NA,NA,2,NA,NA,NA
"1180952|CE1180951_13395",NA,NA,NA,NA,2,NA,NA,NA
"118131|CE118130_1361",2,1,NA,NA,NA,NA,NA,NA
"1181485|CE1181484_34621",NA,6,4,NA,6,4,2,21
"118256|CE118255_6068",NA,NA,8,8,4,NA,NA,NA
"1186739|CE1186738_6407",2,NA,1,NA,NA,NA,NA,2
"1187268|CE1187267_815",NA,NA,NA,NA,2,NA,NA,NA
"1187831|CE1187830_5522",NA,1,NA,NA,1,NA,NA,NA
"1187918|CE1187917_573",NA,NA,2,NA,NA,NA,NA,NA
"1189284|CE1189283_14886",NA,4,NA,NA,2,2,NA,7
"1190001|CE1190000_12126",NA,9,16,10,12,8,6,12
"1191094|CE1191093_298",NA,NA,NA,2,NA,NA,NA,NA
"1192226|CE1192225_5412",NA,NA,NA,NA,2,NA,NA,NA
"1193232|CE1193231_7004",NA,NA,NA,2,NA,NA,NA,NA
"1193355|CE1193354_843",NA,NA,NA,NA,NA,2,4,NA
"119380|CE119379_13408",2,NA,NA,NA,NA,3,NA,NA
"119499|CE119498_15999",NA,NA,2,NA,4,NA,NA,NA
"1195839|CE1195838_916",NA,NA,NA,NA,NA,NA,NA,2
"1196337|CE1196336_3117",NA,NA,2,NA,NA,NA,NA,NA
"1196565|CE1196564_11376",NA,NA,NA,2,2,NA,NA,NA
"119743|CE119742_11369",NA,28,30,14,25,7,28,173
"1198278|CE1198277_14973",NA,NA,2,NA,NA,NA,NA,NA
"1198405|CE1198404_6484",NA,1,NA,NA,NA,NA,NA,NA
"1198440|CE1198439_1373",NA,NA,NA,2,NA,NA,NA,NA
"1198607|CE1198606_2420",NA,NA,NA,NA,NA,NA,NA,2
"119943|CE119942_9339",4,NA,2,NA,NA,2,NA,6
"1201109|CE1201108_1835",NA,NA,NA,NA,2,NA,NA,NA
"1201402|CE1201401_4107",NA,NA,NA,NA,2,NA,NA,NA
"1202085|CE1202084_6696",NA,NA,NA,NA,NA,NA,NA,2
"1202584|CE1202583_748",NA,NA,1,NA,NA,NA,NA,NA
"120401|CE120400_7082",2,3,8,2,2,8,NA,2
"1205221|CE1205220_4973",NA,2,NA,NA,4,NA,NA,3
"1205512|CE1205511_12978",NA,3,2,NA,2,NA,NA,NA
"1205804|CE1205803_24087",NA,1,2,NA,NA,NA,2,NA
"1207106|CE1207105_3871",NA,NA,NA,2,NA,2,NA,2
"1207283|CE1207282_3165",NA,NA,NA,2,NA,NA,NA,NA
"1208566|CE1208565_3554",NA,2,NA,NA,NA,NA,NA,NA
"120972|CE120971_2727",NA,2,NA,2,NA,NA,NA,NA
"1210753|CE1210752_246",NA,1,NA,NA,NA,NA,NA,3
"1210925|CE1210924_16782",NA,NA,NA,NA,2,2,2,11
"1211852|CE1211851_770",NA,1,2,NA,NA,NA,NA,NA
"1212294|CE1212293_10179",NA,2,NA,NA,NA,NA,NA,NA
"121390|CE121389_2443",NA,NA,NA,NA,2,NA,NA,NA
"1214569|CE1214568_8566",NA,NA,NA,NA,2,NA,1,NA
"1214821|CE1214820_3942",NA,NA,2,NA,NA,NA,NA,NA
"1214986|CE1214985_18002",NA,NA,4,3,2,NA,NA,4
"1215172|CE1215171_272",NA,2,NA,NA,NA,NA,NA,2
"1215380|CE1215379_55854",NA,17,10,7,19,3,36,2
"1215915|CE1215914_157",NA,NA,NA,NA,NA,NA,1,NA
"1216777|CE1216776_2096",NA,3,NA,NA,NA,2,NA,NA
"1217812|CE1217811_1081",NA,NA,NA,NA,NA,NA,NA,2
"1218784|CE1218783_1567",NA,NA,NA,2,NA,NA,NA,NA
"1218902|CE1218901_188",NA,NA,NA,2,NA,NA,NA,2
"1219569|CE1219568_19683",NA,NA,NA,NA,2,NA,NA,2
