(species=Irpex lackeys)(type=Full)(curator=GO)
1280154 = 5524
1280154 = 8133
1280154 = 30402
1280154 = 4249
1280154 = 166
1280154 = 8319
1280156 = 8152
1280156 = 4806
1280156 = 16787
1280187 = 8270
1280187 = 3676
1280187 = 5622
1280266 = 8474
1280266 = 6464
1280329 = 4222
1280329 = 46872
1280329 = 4231
1280329 = 3824
1280329 = 8270
1280329 = 6508
1280338 = 4022
1280338 = 4023
1280338 = 16491
1280338 = 4024
1280338 = 4025
1280338 = 8152
1280338 = 46872
1280354 = 5215
1280354 = 16020
1280354 = 6810
1280385 = 16020
1280385 = 5524
1280385 = 6810
1280385 = 6812
1280385 = 16021
1280385 = 15662
1280385 = 16820
1280385 = 16887
1280388 = 8152
1280388 = 16491
1280388 = 4029
1280468 = 4600
1280468 = 42027
1280468 = 6457
1280468 = 30051
1280468 = 3755
1280497 = 4088
1280497 = 4086
1280497 = 6807
1280500 = 17111
1280500 = 6810
1280500 = 16021
1280500 = 5524
1280500 = 8559
1280500 = 42626
1280500 = 166
1280500 = 16887
1280568 = 8270
1280568 = 4089
1280568 = 15976
1280579 = 4518
1280579 = 42578
1280579 = 43765
1280579 = 6281
1280590 = 4032
1280621 = 51438
1280621 = 51444
1280621 = 4842
1280621 = 51440
1280621 = 51443
1280644 = 16491
1280644 = 8152
1280684 = 16829
1280684 = 8152
1280692 = 10181
1280692 = 16491
1280692 = 6118
1280789 = 4682
1280789 = 6468
1280789 = 4672
1280789 = 5524
1280789 = 4674
1280846 = 6468
1280846 = 4672
1280846 = 5524
1280846 = 4674
1281012 = 51087
1281012 = 774
1281012 = 42803
1281012 = 6457
1281012 = 5515
1281036 = 16491
1281036 = 4665
1281036 = 6571
1281121 = 4035
1281123 = 5488
1281132 = 8270
1281139 = 3676
1281163 = 5488
1281163 = 5515
1281163 = 16070
1281279 = 8270
1281279 = 16284
1281279 = 8237
1281290 = 6118
1281290 = 51287
1281290 = 16491
1281339 = 5509
1281358 = 47631
1281358 = 16787
1281419 = 3700
1281419 = 6355
1281419 = 5634
1281419 = 156
1281419 = 43565
1281419 = 160
1281444 = 8017
1281444 = 5737
1281444 = 226
1281473 = 3676
1281473 = 4527
1281473 = 4518
1281473 = 5622
1281473 = 43765
1281473 = 42578
1281482 = 4386
1281482 = 5524
1281482 = 3676
1281633 = 4329
1281633 = 9396
1281633 = 5524
1281633 = 3824
1281650 = 30286
1281650 = 3777
1281650 = 166
1281650 = 17111
1281650 = 5524
1281650 = 16887
1281650 = 7018
1281664 = 5524
1281664 = 17111
1281664 = 166
1281664 = 42626
1281664 = 8559
1281664 = 16887
1281664 = 16021
1281664 = 6810
1281680 = 42961
1281680 = 15446
1281681 = 7165
1281681 = 15031
1281681 = 3924
1281681 = 5525
1281681 = 5622
1281681 = 6886
1281681 = 50800
1281681 = 5515
1281681 = 6913
1281681 = 7264
1281741 = 9073
1281741 = 4107
1281753 = 50660
1281753 = 6066
1281753 = 47639
1281753 = 16614
1281800 = 16491
1281889 = 16071
1281889 = 30529
1282087 = 5488
1282096 = 43832
1282096 = 247
1282096 = 8152
1282096 = 18842
1282096 = 8416
1282096 = 3824
1282169 = 5506
1282169 = 4497
1282169 = 6118
1282169 = 20037
1282213 = 16491
1282213 = 8152
1282213 = 4029
1282222 = 8152
1282222 = 3824
1282222 = 33814
1282245 = 4842
1282245 = 51443
1282245 = 51440
1282245 = 51444
1282245 = 51438
1282304 = 5515
1282323 = 4677
1282323 = 4694
1282323 = 34211
1282323 = 19912
1282323 = 16909
1282323 = 19199
1282323 = 4718
1282323 = 8338
1282323 = 16908
1282323 = 8349
1282323 = 4674
1282323 = 8545
1282323 = 4672
1282323 = 4680
1282323 = 6468
1282323 = 5524
1282323 = 4679
1282323 = 4704
1282323 = 4711
1282323 = 4681
1282323 = 4710
1282323 = 4708
1282323 = 4695
1282323 = 4696
1282323 = 8339
1282323 = 4698
1282323 = 4675
1282323 = 4702
1282323 = 4705
1282323 = 4676
1282323 = 4690
1282323 = 4706
1282323 = 4700
1282377 = 16284
1282377 = 8270
1282377 = 8237
1282431 = 30170
1282431 = 16769
1282431 = 8710
1282431 = 9058
1282431 = 8152
1282431 = 16740
1282510 = 30126
1282510 = 8565
1282510 = 30117
1282510 = 5515
1282510 = 16192
1282510 = 5198
1282510 = 6461
1282510 = 6886
1282543 = 6144
1282543 = 4846
1282552 = 15035
1282552 = 9055
1282552 = 45454
1282586 = 16829
1282586 = 287
1282635 = 16787
1282635 = 6807
1282635 = 9039
1282635 = 16151
1282635 = 19627
1282635 = 16810
1282648 = 8270
1282648 = 6508
1282648 = 3676
1282648 = 4190
1282693 = 6810
1282693 = 5741
1282707 = 16491
1282707 = 8152
1282780 = 5515
1282830 = 16787
1282845 = 16656
1282845 = 50660
1282845 = 16491
1282851 = 3676
1282864 = 5958
1282864 = 5488
1282864 = 5634
1282864 = 3677
1282864 = 4003
1282864 = 6303
1282864 = 3676
1282935 = 4672
1282935 = 5524
1282935 = 6468
1282935 = 4674
1283050 = 6118
1283050 = 30151
1283050 = 46914
1283050 = 16491
1283050 = 20037
1283059 = 47639
1283059 = 6066
1283059 = 50660
1283059 = 16614
1283141 = 4673
1283141 = 160
1283141 = 155
1283141 = 18106
1283141 = 156
1283141 = 5524
1283141 = 16020
1283141 = 4871
1283141 = 7165
1283141 = 6355
1283141 = 16310
1283141 = 16772
1283170 = 5634
1283170 = 51246
1283170 = 43687
1283170 = 19787
1283170 = 51440
1283170 = 3950
1283170 = 51438
1283170 = 51443
1283170 = 51444
1283170 = 4842
1283172 = 16020
1283172 = 4222
1283172 = 6508
1283247 = 6464
1283271 = 3676
1283298 = 16563
1283298 = 8270
1283298 = 5515
1283298 = 6352
1283298 = 3743
1283298 = 5634
1283298 = 6413
1283298 = 5667
1283298 = 45941
1283298 = 30528
1283298 = 6355
1283298 = 45449
1283329 = 4784
1283329 = 46872
1283329 = 6801
1283417 = 3824
1283417 = 4766
1283548 = 15031
1283548 = 7165
1283548 = 3924
1283548 = 5515
1283548 = 5525
1283548 = 6913
1283548 = 5622
1283548 = 7264
1283548 = 6886
1283549 = 15931
1283549 = 15205
1283549 = 16020
1283596 = 6412
1283596 = 4831
1283596 = 6418
1283596 = 5737
1283596 = 5524
1283596 = 166
1283596 = 6437
1283596 = 4812
1283709 = 5622
1283709 = 3723
1283709 = 6396
1283725 = 5975
1283725 = 4557
1283725 = 4553
1283757 = 5524
1283757 = 4386
1283757 = 8026
1283757 = 3676
1283811 = 10181
1283811 = 16629
1283811 = 16491
1283834 = 4451
1283834 = 19752
1283834 = 3824
1283881 = 8168
1283911 = 8152
1283911 = 140
1283911 = 16491
1284018 = 5524
1284018 = 16820
1284018 = 16469
1284122 = 4175
1284122 = 4298
1284122 = 4299
1284122 = 6511
1284122 = 5839
1284139 = 8094
1284139 = 3677
1284139 = 166
1284139 = 6270
1284139 = 5524
1284139 = 5634
1284139 = 17111
1284162 = 51082
1284162 = 5524
1284162 = 44267
1284162 = 6457
1284162 = 5515
1284332 = 6468
1284332 = 4674
1284332 = 4682
1284332 = 4672
1284332 = 5524
1284336 = 3824
1284336 = 16208
1284336 = 8152
1284336 = 3987
1284339 = 4733
1284339 = 8615
1284339 = 10181
1284353 = 4386
1284353 = 3676
1284353 = 5524
1284353 = 8026
1284384 = 31461
1284384 = 6511
1284384 = 31625
1284388 = 287
1284388 = 4737
1284388 = 16831
1284388 = 3824
1284388 = 30976
1284479 = 30402
1284479 = 8133
1284479 = 8319
1284479 = 4249
1284479 = 6508
1284479 = 4222
1284490 = 4806
1284490 = 6629
1284538 = 15078
1284538 = 46933
1284538 = 46961
1284538 = 8553
1284538 = 15986
1284538 = 5737
1284538 = 45259
1284538 = 3936
1284538 = 15988
1284538 = 16469
1284600 = 16021
1284654 = 8415
1284654 = 4092
1284663 = 51118
1284797 = 49
1285100 = 3677
1285101 = 16810
1285105 = 6281
1285105 = 3887
1285105 = 3677
1285105 = 6260
1285105 = 3824
1285116 = 4563
1285116 = 16231
1285116 = 4553
1285116 = 5975
1285139 = 5524
1285139 = 6810
1285139 = 4012
1285139 = 287
1285139 = 16021
1285139 = 16020
1285139 = 15914
1285139 = 16820
1285139 = 15662
1285172 = 5622
1285172 = 51056
1285172 = 5096
1285172 = 5488
1285252 = 3997
1285252 = 6635
1285252 = 50660
1285252 = 5777
1285252 = 16627
1285252 = 3995
1285252 = 6118
1285252 = 8152
1285252 = 6631
1285296 = 19912
1285296 = 6468
1285296 = 8349
1285296 = 4700
1285296 = 4694
1285296 = 4702
1285296 = 4672
1285296 = 4705
1285296 = 4711
1285296 = 4718
1285296 = 4704
1285296 = 4710
1285296 = 5524
1285296 = 4708
1285296 = 4706
1285296 = 4674
1285296 = 34211
1285296 = 4696
1285296 = 4677
1285296 = 16909
1285296 = 16908
1285296 = 4695
1285296 = 8339
1285296 = 4675
1285296 = 4681
1285296 = 4680
1285296 = 4676
1285296 = 8338
1285296 = 4698
1285296 = 4690
1285296 = 4679
1285296 = 8545
1285296 = 19199
